school,conference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,median,mean,year
Arizona,Pac-12,2.0,2.0,4.0,3.0,3.0,3.0,3.0,7.0,6.0,9.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,4.0,4.0,6.0,5.142857142857143,2015
Arkansas,SEC,,,,21.0,,,,,25.0,19.0,,25.0,,23.0,17.0,16.0,18.0,20.0,20.0,20.0,20.0,20.333333333333332,2015
Baylor,Big 12,,,,,,,22.0,22.0,22.0,23.0,21.0,19.0,19.0,16.0,20.0,20.0,16.0,16.0,17.0,21.0,20.0,19.6,2015
Boise State,MWC,,,,,,,,,,,,,,,,,,,,,,,2015
Butler,Big East,,,,,19.0,25.0,,,,,,,22.0,18.0,19.0,23.0,21.0,22.0,23.0,23.0,22.0,21.545454545454547,2015
Colorado State,MWC,,,,,,,25.0,24.0,,,,24.0,,,,,,,,,24.0,24.25,2015
Creighton,Big East,,,,,,,,,,,,,,,,,,,,,,,2015
Davidson,A-10,,,,,,,,,,,,,,,,,,24.0,,,24.0,24.0,2015
Dayton,A-10,,,,,,,,,,,22.0,,,,,,,,,,22.0,22.0,2015
Duke,ACC,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,1.0,3.0,3.238095238095238,2015
Florida,SEC,7.0,7.0,16.0,24.0,,,,,,,,,,,,,,,,,11.5,13.1,2015
Georgetown,Big East,,,,,,,,,,,,22.0,24.0,,,,,23.0,24.0,,23.5,23.3,2015
Gonzaga,WCC,13.0,11.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,6.0,7.0,6.190476190476191,2015
Harvard,Ivy,,,,,,,,,,,,,,,,,,,,,,,2015
Illinois,Big Ten,,,,25.0,25.0,,,,,,,,,,,,,,,,25.0,25.0,2015
Indiana,Big Ten,,,,,,,,,,,23.0,21.0,25.0,,,,,,,,23.0,23.0,2015
Iowa,Big Ten,25.0,25.0,,,,,,,,,,,,,,,,,,,25.0,25.0,2015
Iowa State,Big 12,14.0,14.0,13.0,19.0,13.0,13.0,12.0,9.0,16.0,13.0,12.0,16.0,14.0,14.0,14.0,13.0,17.0,15.0,10.0,19.0,14.0,14.0,2015
Kansas,Big 12,5.0,5.0,12.0,11.0,10.0,10.0,10.0,14.0,13.0,10.0,14.0,11.0,9.0,9.0,8.0,9.0,10.0,10.0,11.0,17.0,10.0,10.380952380952381,2015
Kentucky,SEC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0952380952380953,2015
Louisville,ACC,9.0,8.0,5.0,5.0,4.0,4.0,4.0,6.0,5.0,7.0,10.0,9.0,8.0,8.0,12.0,15.0,14.0,13.0,16.0,10.0,8.0,8.571428571428571,2015
Maryland,Big Ten,,,,22.0,20.0,18.0,15.0,11.0,9.0,11.0,8.0,13.0,16.0,19.0,15.0,14.0,9.0,8.0,12.0,16.0,14.0,13.88888888888889,2015
Miami (FL),ACC,,,20.0,15.0,22.0,19.0,,,,,,23.0,,,,,,,,,20.0,19.833333333333332,2015
Michigan,Big Ten,23.0,22.0,18.0,16.0,,,,,,,,,,,,,,,,,20.0,19.8,2015
Michigan State,Big Ten,18.0,19.0,19.0,18.0,23.0,22.0,,,,,,,,,,25.0,,,22.0,7.0,19.0,19.2,2015
Murray State,OVC,,,,,,,,,,,,,,,,,24.0,,,,24.0,24.0,2015
NC State,ACC,,,,,,,,,,,,,,,,,,,,24.0,24.0,24.0,2015
Nebraska,Big Ten,21.0,21.0,,,,,,,,,,,,,,,,,,,21.0,21.0,2015
Northern Iowa,MVC,,,,,24.0,,24.0,23.0,23.0,22.0,19.0,18.0,15.0,12.0,11.0,10.0,12.0,11.0,9.0,14.0,15.0,16.375,2015
Notre Dame,ACC,,,,,,21.0,16.0,13.0,12.0,12.0,9.0,8.0,10.0,11.0,10.0,8.0,11.0,9.0,8.0,5.0,10.0,10.8125,2015
Ohio State,Big Ten,20.0,20.0,17.0,13.0,12.0,12.0,18.0,18.0,20.0,25.0,,,20.0,21.0,23.0,,25.0,,,,20.0,18.933333333333334,2015
Oklahoma,Big 12,19.0,18.0,21.0,20.0,15.0,15.0,20.0,21.0,18.0,18.0,20.0,,21.0,17.0,17.0,17.0,15.0,14.0,15.0,13.0,18.0,17.6,2015
Oklahoma State,Big 12,,,,,,,,,,24.0,,,,24.0,24.0,,,,,,24.0,24.0,2015
Old Dominion,CUSA,,,,,,,,,,,,,,,,,,,,,,,2015
Oregon,Pac-12,,,,,,,,,,,,,,,,,,,25.0,25.0,25.0,25.0,2015
Providence,Big East,,,25.0,,,,,,,,,,,,,,23.0,,,,24.0,24.0,2015
SMU,AAC,22.0,23.0,,,,,,,,,,,23.0,25.0,21.0,21.0,22.0,21.0,19.0,,22.0,21.9,2015
San Diego State,MWC,17.0,16.0,15.0,14.0,16.0,17.0,23.0,25.0,,,,,,,25.0,22.0,,25.0,,,17.0,19.333333333333332,2015
Seton Hall,Big East,,,,,,,,,19.0,21.0,24.0,,,,,,,,,,21.0,21.25,2015
St. John's (NY),Big East,,,,,,23.0,19.0,17.0,24.0,,,,,,,,,,,,21.0,20.8,2015
Stanford,Pac-12,,,,,,,,,,,25.0,,,,,,,,,,25.0,25.0,2015
Syracuse,ACC,24.0,24.0,,,,,,,,,,,,,,,,,,,24.0,24.0,2015
TCU,Big 12,,,,,,,,,,,,,,,,,,,,,,,2015
Texas,Big 12,10.0,10.0,9.0,7.0,9.0,9.0,9.0,10.0,10.0,20.0,18.0,20.0,,,,,,,,,10.0,11.615384615384615,2015
UCLA,Pac-12,,,23.0,,,,,,,,,,,,,,,,,,23.0,23.0,2015
UConn,AAC,15.0,17.0,22.0,23.0,,,,,,,,,,,,,,,,,19.5,19.3,2015
UNC,ACC,6.0,6.0,6.0,12.0,18.0,24.0,21.0,20.0,17.0,16.0,15.0,14.0,13.0,15.0,16.0,18.0,19.0,19.0,14.0,12.0,15.5,15.071428571428571,2015
Utah,Pac-12,,,,,14.0,14.0,14.0,12.0,11.0,8.0,11.0,10.0,11.0,10.0,9.0,12.0,13.0,17.0,18.0,15.0,12.0,12.411764705882353,2015
VCU,A-10,16.0,15.0,14.0,,,,,,21.0,17.0,16.0,15.0,18.0,22.0,,24.0,,,,,16.5,17.681818181818183,2015
Villanova,Big East,12.0,12.0,11.0,9.0,7.0,7.0,7.0,5.0,8.0,5.0,4.0,7.0,7.0,6.0,6.0,6.0,4.0,3.0,2.0,9.0,7.0,6.857142857142857,2015
Virginia,ACC,8.0,9.0,7.0,6.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,6.0,8.0,3.5,4.404761904761905,2015
Washington,Pac-12,,,,,17.0,16.0,13.0,19.0,,,,,,,,,,,,,16.5,16.3,2015
West Virginia,Big 12,,,24.0,17.0,21.0,20.0,17.0,15.0,14.0,15.0,17.0,17.0,12.0,20.0,22.0,19.0,20.0,18.0,21.0,18.0,18.0,18.157894736842106,2015
Wichita State,MVC,11.0,13.0,10.0,10.0,11.0,11.0,11.0,16.0,15.0,14.0,13.0,12.0,17.0,13.0,13.0,11.0,8.0,12.0,13.0,11.0,12.0,12.238095238095237,2015
Wisconsin,Big Ten,4.0,4.0,3.0,4.0,6.0,6.0,6.0,4.0,4.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,4.0,4.380952380952381,2015
Wyoming,MWC,,,,,,,,,,,,,,,,,,,,,,,2015
Xavier,Big East,,,,,,,,,,,,,,,,,,,,22.0,22.0,22.0,2015
