school,conference,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,median,mean,year
Arizona State,Pac-12,,,,20.0,20.0,19.0,17.0,,,,,,,,,,,,,19.5,19.1,2019
Auburn,SEC,12.0,9.0,10.0,9.0,8.0,7.0,11.0,13.0,10.0,12.0,15.0,,,,,,,24.0,18.0,11.0,12.071428571428571,2019
Buffalo,MAC,,25.0,20.0,18.0,15.0,15.0,22.0,20.0,20.0,17.0,14.0,17.0,25.0,24.0,24.0,23.0,20.0,16.0,16.0,20.0,19.526315789473685,2019
Cincinnati,AAC,,,,,,,,,,,,,23.0,,25.0,22.0,19.0,23.0,24.0,23.0,22.714285714285715,2019
Clemson,ACC,23.0,16.0,24.0,,,,,,,,,,,,,,,,,23.0,21.5,2019
Duke,ACC,3.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,1.0,2.0,2.2,2019
Florida State,ACC,15.0,13.0,14.0,11.0,10.0,12.0,9.0,9.0,13.0,11.0,23.0,,24.0,19.0,17.0,17.0,13.0,13.0,11.0,13.0,14.052631578947368,2019
Furman,Southern,,,,,,25.0,,,,,,,,,,,,,,25.0,25.0,2019
Gonzaga,WCC,4.0,3.0,1.0,1.0,6.0,9.0,8.0,8.0,6.0,5.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,3.9,2019
Houston,AAC,,,,,22.0,20.0,19.0,17.0,15.0,17.0,17.0,13.0,12.0,9.0,8.0,6.0,12.0,10.0,9.0,13.0,13.6875,2019
Indiana,Big Ten,,,,,,,25.0,22.0,24.0,25.0,,,,,,,,,,24.5,24.1,2019
Iowa,Big Ten,,22.0,15.0,19.0,21.0,21.0,21.0,20.0,25.0,24.0,21.0,25.0,20.0,17.0,19.0,21.0,,,,21.0,20.75,2019
Iowa State,Big 12,,,,,,,,,21.0,,25.0,20.0,16.0,22.0,20.0,,25.0,,23.0,21.5,21.5,2019
Kansas,Big 12,1.0,2.0,2.0,2.0,1.0,1.0,5.0,6.0,9.0,8.0,10.0,12.0,14.0,14.0,12.0,16.0,14.0,18.0,17.0,9.0,8.65,2019
Kansas State,Big 12,11.0,12.0,10.0,15.0,24.0,,,,,,,,,18.0,21.0,15.0,17.0,14.0,14.0,15.0,15.5,2019
Kentucky,SEC,2.0,10.0,9.0,8.0,18.0,18.0,15.0,14.0,18.0,14.0,9.0,6.0,5.0,5.0,4.0,4.0,6.0,4.0,7.0,8.0,9.2,2019
LSU,SEC,,21.0,,,,,,,,,,19.0,22.0,21.0,15.0,14.0,10.0,9.0,12.0,15.0,15.8,2019
Louisville,ACC,,,,,,,,,,,24.0,16.0,17.0,20.0,22.0,24.0,,,,21.0,20.571428571428573,2019
Marquette,Big East,,,,,,23.0,20.0,18.0,19.0,13.0,11.0,9.0,9.0,10.0,10.0,9.0,15.0,22.0,25.0,14.0,15.133333333333333,2019
Maryland,Big Ten,,,,23.0,23.0,24.0,,,,22.0,16.0,24.0,,25.0,25.0,20.0,24.0,21.0,,23.0,22.5,2019
Michigan,Big Ten,18.0,8.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,5.0,7.0,7.0,7.0,10.0,7.0,11.0,8.0,6.0,6.8,2019
Michigan State,Big Ten,10.0,11.0,8.0,10.0,9.0,8.0,7.0,7.0,5.0,6.0,5.0,8.0,11.0,12.0,11.0,8.0,11.0,7.0,6.0,8.0,8.4,2019
Mississippi State,SEC,19.0,15.0,25.0,22.0,17.0,16.0,17.0,16.0,14.0,23.0,22.0,21.0,21.0,,,,,,,19.0,19.071428571428573,2019
NC State,ACC,,,,,,,24.0,19.0,16.0,16.0,19.0,22.0,,,,,,,,19.0,19.285714285714285,2019
Nebraska,Big Ten,25.0,24.0,,25.0,25.0,22.0,23.0,23.0,,,,,,,,,,,,24.0,23.875,2019
Nevada,MWC,9.0,7.0,6.0,6.0,7.0,6.0,6.0,5.0,11.0,10.0,7.0,7.0,6.0,6.0,6.0,13.0,18.0,17.0,20.0,7.0,9.0,2019
Ohio State,Big Ten,,23.0,16.0,17.0,14.0,14.0,11.0,12.0,17.0,,,,,,,,,,,15.0,15.444444444444445,2019
Oklahoma,Big 12,,,,,,,,25.0,22.0,19.0,,,,,,,,,,22.0,22.0,2019
Ole Miss,SEC,,,,,,,,,,20.0,20.0,,,,,,,,,20.0,20.0,2019
