school,conference,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,median,mean,year
Alabama,SEC,25.0,,,,,,24.0,16.0,8.0,7.0,11.0,9.0,7.0,5.0,5.0,5.0,5.0,7.5,10.346153846153847,2021
Arizona State,Pac-12,17.0,23.0,,,,,,,,,,,,,,,,20.0,20.0,2021
Arkansas,SEC,,,,,,,,,,,,,20.0,13.0,8.0,10.0,6.0,10.0,11.166666666666666,2021
BYU,WCC,,,,,,,,,,,,,,,,,,,,2021
Baylor,Big 12,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2021
Clemson,ACC,,,,,,18.0,12.0,22.0,,,,,,,,,,18.0,17.5,2021
Colorado,Pac-12,,,,,,,,23.0,,,,,,,,22.0,23.0,23.0,22.75,2021
Creighton,Big East,11.0,7.0,9.0,13.0,10.0,5.0,6.0,11.0,14.0,12.0,17.0,12.0,11.0,12.0,17.0,19.0,14.0,12.0,11.777777777777779,2021
Drake,MVC,,,,,,,,,,25.0,,,,,,,,25.0,25.0,2021
Duke,ACC,8.0,11.0,23.0,25.0,,24.0,23.0,,,,,,,,,,,23.0,19.571428571428573,2021
Florida,SEC,,25.0,,,,,,,,23.0,,,,,,,,24.0,24.0,2021
Florida State,ACC,18.0,21.0,15.0,21.0,19.0,22.0,,25.0,16.0,19.0,19.0,16.0,9.0,11.0,13.0,14.0,10.0,17.0,16.764705882352942,2021
Gonzaga,WCC,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.1111111111111112,2021
Houston,AAC,18.0,8.0,8.0,7.0,5.0,11.0,11.0,8.0,6.0,5.0,7.0,5.0,10.0,7.0,7.0,6.0,3.0,7.0,7.722222222222222,2021
Illinois,Big Ten,10.0,9.0,13.0,18.0,16.0,12.0,13.0,24.0,22.0,13.0,6.0,5.0,4.0,4.0,3.0,2.0,8.0,10.0,10.666666666666666,2021
Iowa,Big Ten,6.0,3.0,3.0,5.0,11.0,7.0,8.0,4.0,7.0,8.0,16.0,14.0,12.0,8.0,6.0,8.0,13.0,8.0,8.166666666666666,2021
Kansas,Big 12,5.0,5.0,5.0,4.0,4.0,6.0,7.0,9.0,18.0,22.0,,24.0,19.0,14.0,12.0,11.0,16.0,10.0,11.235294117647058,2021
Kentucky,SEC,9.0,,,,,,,,,,,,,,,,,9.0,9.0,2021
Louisville,ACC,,24.0,22.0,,,25.0,18.0,,23.0,,,,,,,,,23.0,22.5,2021
Loyola (IL),MVC,,,,,,,,,,,23.0,23.0,22.0,22.0,18.0,16.0,12.0,22.0,19.75,2021
Michigan,Big Ten,,,24.0,19.0,15.0,9.0,5.0,7.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,7.125,2021
Michigan State,Big Ten,12.0,4.0,4.0,11.0,18.0,,,,,,,,,,,,,11.0,10.0,2021
Minnesota,Big Ten,,,,,24.0,17.0,19.0,17.0,20.0,,,,,,,,,19.0,19.333333333333332,2021
