school,conference,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,median,mean,year
Alabama,SEC,13.0,9.0,16.0,9.0,8.0,11.0,19.0,20.0,25.0,,,,,,25.0,24.0,,,16.0,16.25,2022
Arizona,Pac-12,,19.0,11.0,8.0,6.0,4.0,7.0,7.0,6.0,3.0,3.0,5.0,5.0,4.0,2.0,3.0,2.0,2.0,5.0,5.666666666666667,2022
Arkansas,SEC,15.0,12.0,9.0,10.0,19.0,,,,,,,,,24.0,18.0,15.0,16.0,18.0,15.5,15.590909090909092,2022
Auburn,SEC,22.0,22.0,20.0,21.0,14.0,12.0,11.0,9.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,5.0,4.0,7.0,6.0,8.947368421052632,2022
BYU,WCC,,18.0,13.0,23.0,,,,,,,,,,,,,,,18.0,18.0,2022
Baylor,Big 12,8.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,8.0,10.0,8.0,11.0,4.0,3.0,4.0,4.0,4.526315789473684,2022
Boise State,MWC,,,,,,,,,,,,,,,,,,23.0,23.0,23.0,2022
Colorado State,MWC,,,,,23.0,21.0,20.0,19.0,,23.0,22.0,,,,,,24.0,,22.0,21.75,2022
Davidson,A-10,,,,,,,,,,,,,,,,,,,,,2022
Duke,ACC,9.0,6.0,1.0,3.0,2.0,2.0,2.0,2.0,8.0,5.0,7.0,6.0,6.0,5.0,6.0,2.0,7.0,10.0,5.5,4.973684210526316,2022
Florida,SEC,,24.0,12.0,16.0,,,,,,,,,,,,,,,16.0,17.0,2022
Florida State,ACC,19.0,,,,,,,,,,,,,,,,,,19.0,19.0,2022
Gonzaga,WCC,1.0,1.0,3.0,5.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2022
Houston,AAC,14.0,11.0,14.0,13.0,13.0,14.0,14.0,14.0,11.0,10.0,9.0,9.0,7.0,15.0,15.0,14.0,18.0,15.0,14.0,12.842105263157896,2022
Illinois,Big Ten,10.0,15.0,,,,,,,24.0,17.0,21.0,18.0,13.0,12.0,14.0,17.0,15.0,16.0,15.5,15.961538461538462,2022
Iowa,Big Ten,,,,,,,,,,,,,,,,25.0,23.0,19.0,23.0,22.5,2022
Iowa State,Big 12,,,23.0,19.0,11.0,8.0,8.0,11.0,16.0,14.0,24.0,22.0,,,,,,,15.0,15.545454545454545,2022
Kansas,Big 12,3.0,3.0,7.0,7.0,7.0,7.0,6.0,6.0,10.0,7.0,5.0,10.0,8.0,6.0,5.0,7.0,6.0,3.0,6.5,6.2894736842105265,2022
Kentucky,SEC,11.0,13.0,10.0,12.0,21.0,18.0,17.0,13.0,17.0,12.0,13.0,7.0,4.0,3.0,3.0,6.0,5.0,6.0,11.5,10.657894736842104,2022
LSU,SEC,,,,24.0,20.0,16.0,16.0,21.0,12.0,16.0,18.0,25.0,,,,,,,18.0,18.6,2022
Loyola (IL),MVC,,,,,,,,,,24.0,,,,,,,,,24.0,24.0,2022
Marquette,Big East,,,,,,,,,,,,24.0,19.0,23.0,,,,,23.0,22.25,2022
Maryland,Big Ten,21.0,,,,,,,,,,,,,,,,,,21.0,21.0,2022
Memphis,AAC,16.0,10.0,19.0,,,,,,,,,,,,,,,,16.0,15.25,2022
Michigan,Big Ten,6.0,13.0,24.0,,,,,,,,,,,,,,,,13.0,14.0,2022
Michigan State,Big Ten,,,22.0,20.0,12.0,10.0,10.0,10.0,9.0,13.0,10.0,13.0,17.0,19.0,24.0,25.0,,,13.0,15.133333333333333,2022
Murray State,OVC,,,,,,,,,,,,,24.0,21.0,21.0,22.0,19.0,20.0,21.0,21.142857142857142,2022
Ohio State,Big Ten,17.0,,,22.0,15.0,13.0,12.0,12.0,15.0,18.0,16.0,16.0,16.0,18.0,19.0,23.0,25.0,,16.0,17.0625,2022
Oregon,Pac-12,12.0,23.0,,,,,,,,,,,,,,,,,17.5,17.5,2022
Providence,Big East,,,,,,23.0,21.0,17.0,20.0,21.0,17.0,15.0,11.0,9.0,10.0,8.0,10.0,13.0,15.0,15.0,2022
Purdue,Big Ten,7.0,4.0,2.0,1.0,4.0,3.0,3.0,3.0,5.0,4.0,6.0,3.0,3.0,7.0,7.0,9.0,9.0,9.0,4.0,4.894736842105263,2022
Saint Mary's,WCC,,,,,,,,,,,,,22.0,,23.0,20.0,17.0,16.0,20.0,19.666666666666668,2022
Seton Hall,Big East,,20.0,,25.0,16.0,15.0,13.0,22.0,18.0,,,,,,,,,,18.0,18.375,2022
St. Bonaventure,A-10,24.0,16.0,25.0,,,,,,,,,,,,,,,,24.0,22.25,2022
Tennessee,SEC,17.0,17.0,15.0,14.0,18.0,19.0,15.0,18.0,23.0,25.0,20.0,20.0,18.0,13.0,17.0,13.0,11.0,8.0,17.0,16.736842105263158,2022
Texas,Big 12,5.0,8.0,8.0,11.0,17.0,17.0,18.0,16.0,22.0,22.0,25.0,21.0,20.0,20.0,22.0,21.0,22.0,25.0,20.0,17.894736842105264,2022
Texas Tech,Big 12,,,,,24.0,25.0,25.0,25.0,19.0,19.0,14.0,14.0,9.0,11.0,9.0,12.0,14.0,11.0,14.0,16.333333333333332,2022
