school,conference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,median,mean,year
Akron,MAC,,,,,,,,,,,,,,,,,24.0,,,,,24.0,24.0,2013
Arizona,Pac-12,11.0,12.0,10.0,9.0,8.0,8.0,5.0,3.0,3.0,3.0,7.0,6.0,8.0,7.0,9.0,12.0,11.0,18.0,18.0,20.0,14.0,9.0,9.590909090909092,2013
Baylor,Big 12,18.0,17.0,21.0,,,,,,,,,,,,,,,,,,,18.0,18.5,2013
Butler,A-10,,,,,,,25.0,21.0,20.0,17.0,13.0,9.0,10.0,14.0,10.0,15.0,21.0,,,,,15.0,15.833333333333334,2013
Cincinnati,Big East,,24.0,20.0,16.0,12.0,12.0,11.0,8.0,15.0,20.0,24.0,20.0,23.0,17.0,,,,,,,,17.0,17.071428571428573,2013
Colorado,Pac-12,,,,19.0,,,,,,,,,,,,,,,,,,19.0,19.0,2013
Colorado State,MWC,,,,,,,,,,,,,,,24.0,21.0,,,,,,22.5,22.5,2013
Creighton,MVC,15.0,13.0,12.0,11.0,13.0,13.0,13.0,12.0,11.0,11.0,10.0,12.0,17.0,13.0,23.0,,,,24.0,21.0,21.0,13.0,14.63157894736842,2013
Duke,ACC,8.0,9.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,4.0,1.0,6.0,3.0,4.0,2.0,7.0,5.0,3.0,3.4545454545454546,2013
Florida,SEC,10.0,10.0,8.0,7.0,5.0,5.0,9.0,11.0,9.0,9.0,9.0,7.0,4.0,2.0,6.0,4.0,6.0,9.0,11.0,12.0,9.0,9.0,7.772727272727272,2013
Florida Gulf Coast,A-Sun,,,,,,,,,,,,,,,,,,,,,25.0,25.0,25.0,2013
Florida State,ACC,24.0,,,,,,,,,,,,,,,,,,,,,24.0,24.0,2013
Georgetown,Big East,,,,25.0,23.0,21.0,21.0,18.0,16.0,22.0,,,,21.0,15.0,11.0,8.0,5.0,5.0,8.0,17.0,17.0,15.8125,2013
Gonzaga,WCC,22.0,19.0,16.0,12.0,10.0,14.0,14.0,13.0,10.0,8.0,8.0,10.0,7.0,6.0,3.0,3.0,2.0,1.0,1.0,1.0,12.0,10.0,9.181818181818182,2013
Illinois,Big Ten,,,,22.0,14.0,10.0,10.0,15.0,14.0,13.0,22.0,,,,,,,,,,,14.0,14.88888888888889,2013
Indiana,Big Ten,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,5.0,5.0,2.0,8.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,7.0,2.0,2.863636363636364,2013
Kansas,Big 12,7.0,7.0,11.0,10.0,9.0,9.0,8.0,6.0,6.0,6.0,4.0,2.0,1.0,5.0,13.0,9.0,5.0,3.0,6.0,3.0,8.0,6.0,6.545454545454546,2013
Kansas State,Big 12,,,,,,,,,,23.0,18.0,13.0,21.0,15.0,11.0,13.0,13.0,10.0,12.0,14.0,20.0,13.5,15.115384615384617,2013
Kentucky,SEC,3.0,3.0,7.0,8.0,19.0,22.0,23.0,23.0,,,,,,,,,,,,,,13.5,13.5,2013
La Salle,A-10,,,,,,,,,,,,,,,,,,,,,24.0,24.0,24.0,2013
Louisiana Tech,WAC,,,,,,,,,,,,,,,,,,,,,,,,2013
Louisville,Big East,2.0,2.0,2.0,6.0,6.0,6.0,4.0,3.0,4.0,4.0,1.0,5.0,13.0,12.0,12.0,10.0,9.0,6.0,4.0,2.0,1.0,4.0,5.363636363636363,2013
